session,src_ip,hassh,login_attempts,login_success,login_failed,cmd_count,cmd_failed,downloads,duration_ms,attack_type,label
d79b7dc9d70b,61.177.172.98,,0,0,0,0,0,0,0,benign,0
bbf6101ae1f9,61.177.173.46,,0,0,0,0,0,0,0,benign,0
5e4f1b1978ba,61.177.173.48,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
9c756d85b991,61.177.173.37,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
71df9679dcdc,61.177.172.19,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
1e97d57d001b,61.177.173.53,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
e3ec0f333557,61.177.173.48,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
9b711e4e9067,172.105.128.13,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
a5516f957b22,172.105.128.13,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
b64e3dccbe4f,172.105.128.13,,0,0,0,0,0,0,0,benign,0
a424d9027ffa,107.189.13.7,ba19a58a192de4fe89e3f7e2f9917fc9,1,1,0,0,0,0,0,bruteforce,1
2c6f573203e7,61.177.173.37,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
ac1c62a34760,61.177.173.53,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
739b77f67dd0,61.177.172.108,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
6e95a70fa476,61.177.173.35,,0,0,0,0,0,0,0,benign,0
c1a682e0dd21,193.105.134.95,a7a87fbe86774c2e40cc4a7ea2ab1b3c,1,1,0,0,0,0,0,bruteforce,1
a5e7d4b4d19c,218.92.0.221,,0,0,0,0,0,0,0,benign,0
d8479faa0531,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,0,1,0,0,0,0,benign,0
fe797b27d55f,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,0,1,0,0,0,0,benign,0
d751622289b4,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
a24f35b4a3ee,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
514f306ccd8a,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
26d012b59878,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
f60a07f07552,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
42a71000ecc1,14.50.131.36,9d31b8e6c87f893d077ca6526f7c710b,1,1,0,1,0,0,0,bruteforce,1
f822f3820f72,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
6537b40398b9,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
f444ccc0b9c7,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
0ade1c2ae08a,61.177.173.49,1616c6d18e845e7a01168a44591f7a35,0,0,0,0,0,0,0,benign,0
df925197f3f6,85.31.44.222,92674389fa1e47a27ddd8d9b63ecd42b,1,1,0,1,0,0,0,malware_download,3
695d8c697a51,144.48.228.82,,0,0,0,0,0,0,0,benign,0
f5a71cc55242,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
1ff7e36aa675,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
36419d01258f,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
557368429a4b,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
40f65816fbac,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
82f220a6e2cc,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
1b7dd21e42a4,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
de97f5e1abfc,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
8303f9343d1b,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
d18bfae0e05f,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
ba7397aa790c,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
42fddad8ec47,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
09514c4bdaf5,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
0c36e0987f34,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
525d619284d4,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
60f8b72e810e,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
5b42a6d5ad2f,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
8f4602a865cc,144.48.228.82,4e066189c3bbeec38c99b1855113733a,1,1,0,0,0,0,0,bruteforce,1
665c6d80faa4,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
86ee3156fc89,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
63eb09101b1b,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
2730ed625d93,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
e4270387ab02,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
106206326b03,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
d4538d643f7d,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
ca1adc17e50a,144.48.228.82,4e066189c3bbeec38c99b1855113733a,0,0,0,0,0,0,0,benign,0
